docid,lat,lng
92,38.578568,-121.491058
94,34.059047,-118.256812
95,34.033898,-118.256673
96,34.081998,-118.21713
97,33.799476,-118.257977
98,34.208708,-118.444358
99,34.241928,-118.390147
100,47.044011,-122.822404
101,45.508396,-122.664667
102,39.15,-123.2091
103,38.368755,-121.961192
104,38.54643,-121.7388
105,38.5443,-121.738
106,38.544538,-121.749713
107,38.55755,-121.6947
108,38.569412,-121.721373
109,33.84788,-118.13889
110,37.94495,-122.5096
111,37.7136,-122.2087
112,47.443377,-122.296229
113,40.119161,-88.244185
114,43.608009,-116.197968
115,44.99574,-123.019758
116,45.508795,-122.8249
117,38.2482,-122.0678
118,44.928439,-124.015824
119,40.814019,-73.608978
120,28.535975,-81.379663
121,43.083979,-89.363091
122,44.586123,-123.115389
123,45.545898,-122.707102
124,35.249929,-120.689683
125,35.25982,-120.676
126,42.702424,-73.857693
127,42.969823,-73.773021
128,47.673347,-117.388933
129,47.65579218,-117.4236637
130,41.615759,-93.57875
131,41.682385,-93.698315
132,32.236156,-110.781792
133,39.155907,-76.717216
134,40.286518,-74.807516
135,44.009797,-123.033213
136,29.756604,-95.372854
137,42.97167,-73.774182
138,34.44198,-119.829553
139,41.892757,-87.626038
140,34.950136,-81.93279
141,34.951926,-81.931714
142,34.715982,-81.624616
143,41.157925,-73.240315
144,41.305794,-72.927405
145,41.355486,-72.093784
146,41.119291,-73.369266
147,41.951328,-72.663078
148,42.592469,-87.915847
149,43.091229,-89.52884
150,41.503373,-81.639054
151,38.417603,-82.456866
152,28.429015,-81.458938
153,38.694036,-90.4218
154,45.522609,-122.988535
155,45.520533,-122.978089
156,47.614744,-122.193162
157,45.509326,-122.666392
158,40.74686,-111.876
159,41.770428,-72.687141
160,41.879631,-72.729919
161,38.92591,-94.72819
162,42.36262,-72.5395
163,26.465314,-80.07219
164,47.545324,-122.0195
165,47.675897,-122.091237
166,41.765253,-72.671569
167,42.349249,-71.041557
168,34.00741493349311,-81.03480060447691
169,34.003323,-81.035693
170,34.008409,-81.041802
171,34.002255,-81.040219
172,34.84709,-82.387269
173,34.849724,-82.400667
174,34.849889,-82.397797
175,34.852754,-82.393113
176,33.997786,-81.036161
177,34.852789,-82.396195
178,34.85335,-82.394826
179,34.852437,-82.399901
180,34.925782,-81.028444
181,34.716556,-81.648482
182,34.77993955183312,-81.4573590734024
183,34.019875,-118.49151
184,37.784871,-122.408991
185,37.806798,-122.419488
186,34.010528,-118.4898
187,39.843886,-104.771138
188,39.953798,-105.166116
189,42.372442,-71.122882
190,41.492057,-87.522819
191,42.962078,-85.659019
192,40.507796,-88.982897
193,40.511172,-88.984985
194,39.79628,-89.6504
195,39.70909,-86.3894
196,30.198704,-93.212318
197,44.95121,-92.9952
198,47.761878,-122.191915
199,47.679224,-122.12995
200,47.672359,-122.099034
201,47.734211,-122.147041
202,43.011411,-89.459112
203,43.096636,-89.500008
204,35.778416,-78.64347
205,35.77435,-78.642287
206,37.958953,-91.779289
207,30.206145,-97.759109
208,42.999265,-71.467911
209,39.1458,-123.198497
210,34.749177,-82.279741
211,36.910575,-80.31736
212,37.551409,-77.45233
213,37.543387,-77.42953
214,36.010279,-84.268049
215,35.558371,-86.448276
216,32.408909,-99.771463
217,35.159354,-101.938937
218,32.676458,-97.087169
219,30.374542,-97.731445
220,29.80725299717069,-94.97383364868772
221,30.062535,-94.133511
222,32.839339,-97.160994
223,30.639201,-96.30671
224,27.73082,-97.416019
225,32.646784,-96.863492
226,33.775328,-96.58308
227,31.783928,-106.417267
228,31.724024,-106.302211
229,32.721585,-97.478539
230,32.928183,-97.09448
231,26.186259,-97.734663
232,29.913418,-95.611942
233,29.676558,-95.422537
234,29.625565,-95.22531
235,29.785494,-95.60022
236,29.990205,-95.423096
237,29.990275,-95.275606
238,32.849437,-96.914294
239,29.775354,-95.817237
240,31.078549,-97.692745
241,27.492086,-97.84753
242,27.528418,-99.458211
243,29.484543,-95.10255
244,33.022937,-96.988337
245,32.553772,-94.727241
246,33.535048,-101.958266
247,33.161606,-96.644662
248,32.829838,-96.629967
249,32.024113,-102.151567
250,29.953433,-94.0071
251,32.97135,-96.719803
252,29.534537,-95.772812
253,30.54315305,-97.69371065
254,31.44646,-100.496244
255,29.543147,-98.57544
256,29.517253,-98.467365
257,29.457047,-98.625324
258,29.556508,-98.34469
259,30.4963137,-97.6809454
260,30.314894,-94.18396
261,29.645808,-95.57612
262,31.079653,-97.410328
263,32.31165413012184,-95.34249985662234
264,28.851423,-96.997881
265,31.495348,-97.160226
266,32.7561,-97.705239
267,33.88049,-98.545953
268,38.809675,-77.122192
269,38.899751,-77.460168
270,38.086121,-78.474663
271,38.85358,-77.324803
272,37.042363,-76.388316
273,38.760854,-77.459274
274,37.175139,-77.352948
275,37.561646,-77.465974
276,37.345779,-79.962578
277,39.010459,-77.438399
278,38.927033,-77.240836
279,39.156514,-78.147297
280,47.338754,-122.221114
281,48.755607,-122.454132
282,47.562162,-122.684286
283,47.458466,-122.333257
284,47.778229,-122.344838
285,47.031067,-122.930247
286,46.236607,-119.128998
287,48.102863,-123.342273
288,47.207367,-122.294997
289,47.448354,-122.2188
290,47.739021,-117.409937
291,47.657264,-117.312518
292,47.21978,-122.48576
293,45.648094,-122.597954
294,46.047464,-118.353406
295,35.030251,-85.308376
296,36.513006,-87.268667
297,36.137109,-85.496453
298,36.023934,-87.340223
299,36.063277,-89.379485
300,35.957857,-86.80853
301,36.361376,-86.494932
302,36.374198,-82.372119
303,36.551978,-82.487762
304,35.920587,-84.067881
305,35.999617,-83.969451
306,36.29062,-86.7051
307,35.454702,-86.041805
308,36.369277,-88.849653
309,35.0353,-89.795859
310,35.181031,-89.895533
311,36.18226,-83.382387
312,35.854156,-86.394979
313,36.110606,-86.743585
314,36.191053,-86.793132
315,45.491783,-122.81107
316,44.055213,-121.277279
317,44.572608,-123.258425
318,44.05902085037804,-123.08139746322934
319,45.378967,-122.603899
320,45.227394,-123.180863
321,42.379969,-122.858192
322,45.531759,-122.537403
323,44.921582,-123.006236
324,45.613979,-121.20996
325,45.326814,-122.770853
326,34.055164,-81.128164
327,33.997902,-81.222504
328,35.830725,-83.974822
329,35.205818,-89.791337
330,36.54282,-82.2354
331,35.056433,-85.190515
332,33.394903,-86.807186
333,30.660697,-87.858464
334,34.563857,-86.972193
335,32.376832,-86.208559
336,33.459826,-112.284168
337,33.286316,-111.791107
338,34.54217,-114.35287
339,33.385361,-111.695062
340,33.434313,-111.872266
341,33.636921,-112.253682
342,33.509862,-112.054162
343,33.605183,-112.420442
344,33.639038,-112.108088
345,33.635224,-111.915739
346,33.346812,-111.967793
347,32.289823,-110.985646
348,32.207374,-110.881798
349,38.007799,-121.832042
350,35.310723,-119.035324
351,33.865497,-117.995215
352,33.824968,-118.245675
353,33.78414,-116.471
354,33.861544,-118.100471
355,39.756332,-121.843715
356,33.997621,-117.928216
357,36.836818,-119.717629
358,37.671267,-122.463541
359,37.980192,-122.050128
360,33.88309,-117.615292
361,33.675397,-117.918684
362,38.55252,-121.691555
363,33.9473,-118.151166
364,34.136553,-117.975944
365,32.795896,-116.976156
366,34.069536,-118.026911
367,38.402217,-121.385527
368,33.116492,-117.106837
369,40.800562,-124.164405
370,38.634132,-121.204871
371,34.135345,-117.445732
372,37.489389,-121.9576
373,36.818622,-119.789796
374,33.766376,-117.968337
375,33.889201,-118.307028
376,36.996869,-121.558573
377,34.137054,-118.25536
378,34.43427,-119.820934
379,37.662305,-122.075178
380,33.741163,-117.031718
381,33.71069,-117.989861
382,33.632505,-117.723298
383,33.70711,-116.283712
384,34.035168,-118.273229
385,34.133446,-118.356601
386,37.305891,-120.502428
387,34.269809,-118.466606
388,37.705119,-120.99471
389,34.082404,-117.694876
390,34.065387,-117.212007
391,38.292706,-122.277767
392,32.659001,-117.100836
393,33.181953,-117.298334
394,33.80857,-117.864434
395,34.22771,-119.150217
396,34.591173,-118.138184
397,38.267202,-122.665068
398,32.956772,-117.025943
399,40.571632,-122.36654
400,37.495963,-122.227322
401,37.985253,-122.32124
402,33.941878,-117.297603
403,33.925469,-117.419673
404,38.752198,-121.256452
405,38.631393,-121.396604
406,36.720023,-121.662519
407,34.074378,-117.298
